,quantifier,dataset,abs_error,run_time
33,(REG)Top-1,60_waveform-5000,0.029814432904090613,0.049302093000114795
34,(REG)Top-1,679_rmftsa_sleepdata,0.08902040065854507,0.04734297649993091
35,(REG)Top-1,AedesQuinx,0.03789103515122157,0.051933708500000605
36,(REG)Top-1,AedesSex,0.013849999999999987,0.22094983999988468
37,(REG)Top-1,ArabicDigit,0.008356109158147301,0.000111078000063521
38,(REG)Top-1,BNG,0.00918810209989337,0.05095666450004496
39,(REG)Top-1,BNG_breast-w,0.01044999999999998,1.6332007335002527
40,(REG)Top-1,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.33575010295068286,0.04725130950013404
41,(REG)Top-1,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.42269999999999996,0.00017801699988917352
42,(REG)Top-1,HTRU,0.0223363636363636,0.00027375049994583697
43,(REG)Top-1,MagicTelescope,0.052616229627942594,0.04922367350009149
44,(REG)Top-1,abalone,0.04222722527332597,0.00010800550007838199
45,(REG)Top-1,ailerons,0.028234222698645124,0.000122648999949836
